         1,   -0.9999999553D+07,    0.3544808555D-01,    0.9229319133D-12,    0.7577562868D-09,    0.4484081206D-18,  457
         2,   -0.7943281992D+07,    0.3713532041D-01,    0.1537764484D-11,    0.9455470663D-09,    0.0000000000D+00,  457
         3,   -0.6309573163D+07,    0.3893442060D-01,    0.2562182033D-11,    0.1269296133D-08,    0.0000000000D+00,  457
         4,   -0.5011872112D+07,    0.4085280286D-01,    0.4269039041D-11,    0.1703894689D-08,    0.0000000000D+00,  457
         5,   -0.3981071528D+07,    0.4289837562D-01,    0.7112958224D-11,    0.2287296806D-08,    0.0000000000D+00,  457
         6,   -0.3162277519D+07,    0.4507957164D-01,    0.1185141951D-10,    0.3070451739D-08,    0.0000000000D+00,  457
         7,   -0.2511886319D+07,    0.4740538271D-01,    0.1974651503D-10,    0.4121753314D-08,    0.0000000000D+00,  457
         8,   -0.1995262226D+07,    0.4988539671D-01,    0.3290110741D-10,    0.5533012794D-08,    0.0000000000D+00,  457
         9,   -0.1584893122D+07,    0.5252983712D-01,    0.5481892664D-10,    0.7427476665D-08,    0.0000000000D+00,  457
        10,   -0.1258925356D+07,    0.5534960506D-01,    0.9133778601D-10,    0.9970589593D-08,    0.0000000000D+00,  457
        11,   -0.9999999553D+06,    0.5835632422D-01,    0.1521844760D-09,    0.1338444245D-07,    0.0000000000D+00,  457
        12,   -0.7943281992D+06,    0.6156238864D-01,    0.2535654744D-09,    0.1796716651D-07,    0.0000000000D+00,  457
        13,   -0.6309573163D+06,    0.6498101363D-01,    0.4224834905D-09,    0.2411896775D-07,    0.1419538927D-14,  457
        14,   -0.5011872112D+06,    0.6862629008D-01,    0.7039295119D-09,    0.3237707378D-07,    0.2977599802D-14,  457
        15,   -0.3981071528D+06,    0.7251324217D-01,    0.1172865862D-08,    0.4346264394D-07,    0.6245755066D-14,  457
        16,   -0.3162277519D+06,    0.7665788893D-01,    0.1954191731D-08,    0.5834373740D-07,    0.1310095742D-13,  457
        17,   -0.2511886319D+06,    0.8107730957D-01,    0.3256008513D-08,    0.7831983326D-07,    0.2748023256D-13,  457
        18,   -0.1995262226D+06,    0.8578971300D-01,    0.5425044032D-08,    0.1051352772D-06,    0.5764170363D-13,  457
        19,   -0.1584893122D+06,    0.9081451158D-01,    0.9038995385D-08,    0.1411315464D-06,    0.1209071315D-12,  457
        20,   -0.1258925356D+06,    0.9617239920D-01,    0.1506038022D-07,    0.1894516083D-06,    0.2536093666D-12,  457
        21,   -0.9999999553D+05,    0.1018854340D+00,    0.2509286193D-07,    0.2543141698D-06,    0.5319567553D-12,  457
        22,   -0.7943281992D+05,    0.1079771252D+00,    0.4180829236D-07,    0.3413816887D-06,    0.1115794554D-11,  457
        23,   -0.6309573163D+05,    0.1144725247D+00,    0.6965815048D-07,    0.4582541493D-06,    0.2340388431D-11,  457
        24,   -0.5011872112D+05,    0.1213983225D+00,    0.1160587247D-06,    0.6151314262D-06,    0.4908920580D-11,  457
        25,   -0.3981071528D+05,    0.1287829449D+00,    0.1933653900D-06,    0.8257016364D-06,    0.1029618878D-10,  457
        26,   -0.3162277519D+05,    0.1366566560D+00,    0.3221611062D-06,    0.1108332195D-05,    0.2159517966D-10,  457
        27,   -0.2511886319D+05,    0.1450516586D+00,    0.5367334148D-06,    0.1487666009D-05,    0.4529220901D-10,  457
        28,   -0.1995262226D+05,    0.1540021943D+00,    0.8941951212D-06,    0.1996759491D-05,    0.9498868415D-10,  457
        29,   -0.1584893122D+05,    0.1635446368D+00,    0.1489669879D-05,    0.2574229018D-05,    0.1837678436D-09,  457
        30,   -0.1548816550D+05,    0.1645329020D+00,    0.1567670332D-05,    0.2779809161D-05,    0.2242415436D-09,  457
        31,   -0.1513561181D+05,    0.1655275100D+00,    0.1649754128D-05,    0.2862815357D-05,    0.2414772466D-09,  457
        32,   -0.1479108322D+05,    0.1665285011D+00,    0.1736134963D-05,    0.2948298154D-05,    0.2600375145D-09,  457
        33,   -0.1445439706D+05,    0.1675359153D+00,    0.1827037709D-05,    0.3036331205D-05,    0.2800241112D-09,  457
        34,   -0.1412537481D+05,    0.1685497933D+00,    0.1922698998D-05,    0.3126990889D-05,    0.3015466287D-09,  457
        35,   -0.1380384203D+05,    0.1695701758D+00,    0.2023367842D-05,    0.3220354962D-05,    0.3247230652D-09,  457
        36,   -0.1348962822D+05,    0.1705971037D+00,    0.2129306273D-05,    0.3316504375D-05,    0.3496804855D-09,  457
        37,   -0.1318256680D+05,    0.1716306184D+00,    0.2240790027D-05,    0.3415521806D-05,    0.3765557171D-09,  457
        38,   -0.1288249494D+05,    0.1726707611D+00,    0.2358109262D-05,    0.3517492535D-05,    0.4054960912D-09,  457
        39,   -0.1258925356D+05,    0.1737175736D+00,    0.2481569305D-05,    0.3622504911D-05,    0.4366602534D-09,  457
        40,   -0.1230268716D+05,    0.1747710978D+00,    0.2611491451D-05,    0.3730648956D-05,    0.4702190278D-09,  457
        41,   -0.1202264381D+05,    0.1758313757D+00,    0.2748213794D-05,    0.3842018364D-05,    0.5063563682D-09,  457
        42,   -0.1174897502D+05,    0.1768984499D+00,    0.2892092104D-05,    0.3956709050D-05,    0.5452703496D-09,  457
        43,   -0.1148153570D+05,    0.1779723628D+00,    0.3043500753D-05,    0.4074819316D-05,    0.5871742497D-09,  457
        44,   -0.1122018404D+05,    0.1790531572D+00,    0.3202833682D-05,    0.4196451460D-05,    0.6322977068D-09,  457
        45,   -0.1096478147D+05,    0.1801408763D+00,    0.3370505426D-05,    0.4321710403D-05,    0.6808880211D-09,  457
        46,   -0.1071519257D+05,    0.1812355634D+00,    0.3546952191D-05,    0.4450703336D-05,    0.7332114679D-09,  457
        47,   -0.1047128501D+05,    0.1823372618D+00,    0.3732632980D-05,    0.4583541820D-05,    0.7895547651D-09,  457
        48,   -0.1023292947D+05,    0.1834460155D+00,    0.3928030787D-05,    0.4720340098D-05,    0.8502266003D-09,  457
        49,   -0.9999999553D+04,    0.1845618683D+00,    0.4133653849D-05,    0.4861215667D-05,    0.9155594113D-09,  457
        50,   -0.9772371773D+04,    0.1856848645D+00,    0.4350036962D-05,    0.5006290180D-05,    0.9859111600D-09,  457
        51,   -0.9549925433D+04,    0.1868150485D+00,    0.4577742869D-05,    0.5155688153D-05,    0.1061667228D-08,  457
        52,   -0.9332542591D+04,    0.1879524650D+00,    0.4817363717D-05,    0.5309538215D-05,    0.1143242605D-08,  457
        53,   -0.9120107986D+04,    0.1890971589D+00,    0.5069522589D-05,    0.5467972506D-05,    0.1231084126D-08,  457
        54,   -0.8912508983D+04,    0.1902491753D+00,    0.5334875124D-05,    0.5631127096D-05,    0.1325672924D-08,  457
        55,   -0.8709635510D+04,    0.1914085595D+00,    0.5614111209D-05,    0.5799142553D-05,    0.1427527042D-08,  457
        56,   -0.8511380002D+04,    0.1925753572D+00,    0.5907956768D-05,    0.5972163092D-05,    0.1537204269D-08,  457
        57,   -0.8317637339D+04,    0.1937496141D+00,    0.6217175641D-05,    0.6150337192D-05,    0.1655305203D-08,  457
        58,   -0.8128304798D+04,    0.1949313763D+00,    0.6542571562D-05,    0.6333818022D-05,    0.1782476526D-08,  457
        59,   -0.7943281992D+04,    0.1961206900D+00,    0.6884990238D-05,    0.6522762921D-05,    0.1919414505D-08,  457
        60,   -0.7762470819D+04,    0.1973176017D+00,    0.7245321535D-05,    0.6717334206D-05,    0.2066868840D-08,  457
        61,   -0.7585775411D+04,    0.1985221581D+00,    0.7624501784D-05,    0.6917698989D-05,    0.2225646736D-08,  457
        62,   -0.7413102082D+04,    0.1997344062D+00,    0.8023516198D-05,    0.7124028409D-05,    0.2396617296D-08,  457
        63,   -0.7244359277D+04,    0.2009543929D+00,    0.8443401423D-05,    0.7336499805D-05,    0.2580716289D-08,  457
        64,   -0.7079457527D+04,    0.2021821658D+00,    0.8885248214D-05,    0.7555295583D-05,    0.2778951269D-08,  457
        65,   -0.6918309400D+04,    0.2034177723D+00,    0.9350204257D-05,    0.7780602440D-05,    0.2992407011D-08,  457
        66,   -0.6760829452D+04,    0.2046612602D+00,    0.9839477129D-05,    0.8012613858D-05,    0.3222251465D-08,  457
        67,   -0.6606934185D+04,    0.2059126775D+00,    0.1035433742D-04,    0.8251528771D-05,    0.3469742182D-08,  457
        68,   -0.6456542002D+04,    0.2071720725D+00,    0.1089612202D-04,    0.8497550969D-05,    0.3736233100D-08,  457
        69,   -0.6309573163D+04,    0.2084394934D+00,    0.1146623756D-04,    0.8750891158D-05,    0.4023181867D-08,  457
        70,   -0.6165949743D+04,    0.2097149890D+00,    0.1206616403D-04,    0.9011766344D-05,    0.4332157963D-08,  457
        71,   -0.6025595591D+04,    0.2109986080D+00,    0.1269745864D-04,    0.9280398824D-05,    0.4664851109D-08,  457
        72,   -0.5888436290D+04,    0.2122903994D+00,    0.1336175977D-04,    0.9557018476D-05,    0.5023080548D-08,  457
