 SPU,layer,hbot,soilhz,add
              1050_G, 111,  -5.55,staro17_85p_M01KV03 
              1050_G, 112,  -5.60,staro17_85p_M01KV03 
              1050_G, 113,  -5.65,staro17_85p_M01KV03 
              1050_G, 114,  -5.70,staro17_85p_M01KV03 
              1050_G, 115,  -5.75,staro17_85p_M01KV03 
              1050_G, 116,  -5.80,staro17_85p_M01KV03 
              1050_G, 117,  -5.85,staro17_85p_M01KV03 
              1050_G, 118,  -5.90,staro17_85p_M01KV03 
              1050_G, 119,  -5.95,staro17_85p_M01KV03 
              1050_G, 120,  -6.00,staro17_85p_M01KV03 
              1050_G, 121,  -6.05,staro17_85p_M01KV03 
              1050_G, 122,  -6.10,staro17_85p_M01KV03 
              1050_G, 123,  -6.15,staro17_85p_M01KV03 
              1050_G, 124,  -6.20,staro17_85p_M01KV03 
              1050_G, 125,  -6.25,staro17_85p_M01KV03 
              1050_G, 126,  -6.30,staro17_85p_M01KV03 
              1050_G, 127,  -6.35,staro17_85p_M01KV03 
              1050_G, 128,  -6.40,staro17_85p_M01KV03 
              1050_G, 129,  -6.45,staro17_85p_M01KV03 
              1050_G, 130,  -6.50,staro17_85p_M01KV03 
              1050_G, 131,  -6.55,staro17_85p_M01KV03 
              1050_G, 132,  -6.60,staro17_85p_M01KV03 
              1050_G, 133,  -6.65,staro17_85p_M01KV03 
              1050_G, 134,  -6.70,staro17_85p_M01KV03 
              1050_G, 135,  -6.75,staro17_85p_M01KV03 
              1050_G, 136,  -6.80,staro17_85p_M01KV03 
              1050_G, 137,  -6.85,staro17_85p_M01KV03 
              1050_G, 138,  -6.90,staro17_85p_M01KV03 
              1050_G, 139,  -6.95,staro17_85p_M01KV03 
              1050_G, 140,  -7.00,staro17_85p_M01KV03 
              1050_G, 141,  -7.05,staro17_85p_M01KV03 
              1050_G, 142,  -7.10,staro17_85p_M01KV03 
              1050_G, 143,  -7.15,staro17_85p_M01KV03 
              1050_G, 144,  -7.20,staro17_85p_M01KV03 
              1050_G, 145,  -7.25,staro17_85p_M01KV03 
              1050_G, 146,  -7.30,staro17_85p_M01KV03 
              1050_G, 147,  -7.35,staro17_85p_M01KV03 
              1050_G, 148,  -7.40,staro17_85p_M01KV03 
              1050_G, 149,  -7.45,staro17_85p_M01KV03 
              1050_G, 150,  -7.50,staro17_85p_M01KV03 
              1050_G, 151,  -7.55,staro17_85p_M01KV03 
              1050_G, 152,  -7.60,staro17_85p_M01KV03 
              1050_G, 153,  -7.65,staro17_85p_M01KV03 
              1050_G, 154,  -7.70,staro17_85p_M01KV03 
              1050_G, 155,  -7.75,staro17_85p_M01KV03 
              1050_G, 156,  -7.80,staro17_85p_M01KV03 
              1050_G, 157,  -7.85,staro17_85p_M01KV03 
              1050_G, 158,  -7.90,staro17_85p_M01KV03 
              1050_G, 159,  -7.95,staro17_85p_M01KV03 
              1050_G, 160,  -8.00,staro17_85p_M01KV03 
              1050_G, 161,  -8.05,staro17_85p_M01KV03 
              1050_G, 162,  -8.10,staro17_85p_M01KV03 
              1050_G, 163,  -8.15,staro17_85p_M01KV03 
              1050_G, 164,  -8.20,staro17_85p_M01KV03 
              1050_G, 165,  -8.25,staro17_85p_M01KV03 
              1050_G, 166,  -8.30,staro17_85p_M01KV03 
              1050_G, 167,  -8.35,staro17_85p_M01KV03 
              1050_G, 168,  -8.40,staro17_85p_M01KV03 
              1050_G, 169,  -8.45,staro17_85p_M01KV03 
              1050_G, 170,  -8.50,staro17_85p_M01KV03 
              1050_G, 171,  -8.55,staro17_85p_M01KV03 
              1050_G, 172,  -8.60,staro17_85p_M01KV03 
              1050_G, 173,  -8.65,staro17_85p_M01KV03 
              1050_G, 174,  -8.70,staro17_85p_M01KV03 
              1050_G, 175,  -8.75,staro17_85p_M01KV03 
              1050_G, 176,  -8.80,staro17_85p_M01KV03 
              1050_G, 177,  -8.85,staro17_85p_M01KV03 
              1050_G, 178,  -8.90,staro17_85p_M01KV03 
              1050_G, 179,  -8.95,staro17_85p_M01KV03 
              1050_G, 180,  -9.00,staro17_85p_M01KV03 
              1050_G, 181,  -9.05,staro17_85p_M01KV03 
              1050_G, 182,  -9.10,staro17_85p_M01KV03 
              1050_G, 183,  -9.15,staro17_85p_M01KV03 
              1050_G, 184,  -9.20,staro17_85p_M01KV03 
              1050_G, 185,  -9.25,staro17_85p_M01KV03 
              1050_G, 186,  -9.30,staro17_85p_M01KV03 
              1050_G, 187,  -9.35,staro17_85p_M01KV03 
              1050_G, 188,  -9.40,staro17_85p_M01KV03 
              1050_G, 189,  -9.45,staro17_85p_M01KV03 
              1050_G, 190,  -9.50,staro17_85p_M01KV03 
              1050_G, 191,  -9.55,staro17_85p_M01KV03 
              1050_G, 192,  -9.60,staro17_85p_M01KV03 
              1050_G, 193,  -9.65,staro17_85p_M01KV03 
              1050_G, 194,  -9.70,staro17_85p_M01KV03 
              1050_G, 195,  -9.75,staro17_85p_M01KV03 
              1050_G, 196,  -9.80,staro17_85p_M01KV03 
              1050_G, 197,  -9.85,staro17_85p_M01KV03 
              1050_G, 198,  -9.90,staro17_85p_M01KV03 
              1050_G, 199,  -9.95,staro17_85p_M01KV03 
              1050_G, 200, -10.00,staro17_85p_M01KV03 
              1050_G, 201, -10.05,staro17_85p_M01KV03 
              1050_G, 202, -10.10,staro17_85p_M01KV03 
              1050_G, 203, -10.15,staro17_85p_M01KV03 
              1050_G, 204, -10.20,staro17_85p_M01KV03 
              1050_G, 205, -10.25,staro17_85p_M01KV03 
              1050_G, 206, -10.30,staro17_85p_M01KV03 
              1050_G, 207, -10.35,staro17_85p_M01KV03 
              1050_G, 208, -10.40,staro17_85p_M01KV03 
              1050_G, 209, -10.45,staro17_85p_M01KV03 
              1050_G, 210, -10.50,staro17_85p_M01KV03 
              1050_G, 211, -10.55,staro17_85p_M01KV03 
              1050_G, 212, -10.60,staro17_85p_M01KV03 
              1050_G, 213, -10.65,staro17_85p_M01KV03 
