         1,   -0.9999999553D+07,    0.9003432672D-02,    0.3347344078D-16,    0.3575821153D-10,    0.3087436150D-22,  457
         2,   -0.7943281992D+07,    0.9084804251D-02,    0.7580666844D-16,    0.4717500139D-10,    0.0000000000D+00,  457
         3,   -0.6309573163D+07,    0.9178588515D-02,    0.1716779259D-15,    0.6844932249D-10,    0.0000000000D+00,  457
         4,   -0.5011872112D+07,    0.9286678936D-02,    0.3887957375D-15,    0.9931763759D-10,    0.0000000000D+00,  457
         5,   -0.3981071528D+07,    0.9411257817D-02,    0.8804982914D-15,    0.1441065068D-09,    0.0000000000D+00,  457
         6,   -0.3162277519D+07,    0.9554840355D-02,    0.1994047589D-14,    0.2090936211D-09,    0.0000000000D+00,  457
         7,   -0.2511886319D+07,    0.9720325422D-02,    0.4515881002D-14,    0.3033876875D-09,    0.0000000000D+00,  457
         8,   -0.1995262226D+07,    0.9911054081D-02,    0.1022702730D-13,    0.4402051057D-09,    0.0000000000D+00,  457
         9,   -0.1584893122D+07,    0.1013087704D-01,    0.2316094504D-13,    0.6387224034D-09,    0.0000000000D+00,  457
        10,   -0.1258925356D+07,    0.1038423240D-01,    0.5245211958D-13,    0.9267639705D-09,    0.0000000000D+00,  457
        11,   -0.9999999553D+06,    0.1067623520D-01,    0.1187872075D-12,    0.1344701853D-08,    0.0000000000D+00,  457
        12,   -0.7943281992D+06,    0.1101278071D-01,    0.2690147574D-12,    0.1951114222D-08,    0.0000000000D+00,  457
        13,   -0.6309573163D+06,    0.1140066337D-01,    0.6092313584D-12,    0.2830995225D-08,    0.0000000000D+00,  457
        14,   -0.5011872112D+06,    0.1184771393D-01,    0.1379710523D-11,    0.4107666908D-08,    0.0000000000D+00,  457
        15,   -0.3981071528D+06,    0.1236295736D-01,    0.3124590431D-11,    0.5960061833D-08,    0.0000000000D+00,  457
        16,   -0.3162277519D+06,    0.1295679489D-01,    0.7076155075D-11,    0.8647798173D-08,    0.0000000000D+00,  457
