total_inner_iterations,totim,kper,kstp,nouter,ninner,solution_inner_dvmax,solution_inner_dvmax_model,solution_inner_dvmax_node,solution_inner_rmax,solution_inner_rmax_model,solution_inner_rmax_node,solution_inner_alpha,solution_inner_omega
1,.3233485623802053E-19,1,1,1,1,-.5173576998083226E-15,1,7,.8881784197001221E-15,1,4,1.000000,0.3552714E-14
2,.6628645528794208E-19,1,2,1,1,-.7243007797316533E-15,1,7,.1776356839400225E-14,1,7,1.000000,0.1421085E-13
3,.1019356342903597E-18,1,3,1,1,.1901289546795607E-15,1,9,.000000000000000,0,0,1.000000,0.000000
4,.1393672722428982E-18,1,4,1,1,-.3992708048270775E-15,1,10,.1776356839400225E-14,1,9,1.000000,0.1421085E-13
5,.1786704920930637E-18,1,5,1,1,.8384686901368497E-15,1,7,-.8881784197001221E-15,1,8,1.000000,0.3552714E-14
6,.2199388729357374E-18,1,6,1,1,.4401960623218531E-15,1,10,.000000000000000,0,0,1.000000,0.000000
7,.2632706728205448E-18,1,7,1,1,.4622058654379296E-15,1,7,.1234287612197629E-40,1,9,1.000000,0.6861081E-66
8,.3087690626995926E-18,1,8,1,1,.2426580793549215E-15,1,6,.4440892098500622E-15,1,4,1.000000,0.8881784E-15
9,.3565423720725928E-18,1,9,1,1,.5095819666453286E-15,1,8,-.8881784197001189E-15,1,8,1.000000,0.7105427E-14
10,.4067043469142429E-18,1,10,1,1,-.5350610649775840E-15,1,5,.8881784197001189E-15,1,6,1.000000,0.7105427E-14
11,.4593744204979756E-18,1,11,1,1,.2809070591132411E-15,1,10,-.8881784197001205E-15,1,6,1.000000,0.5329071E-14
12,.5146779977608949E-18,1,12,1,1,-.5899048241377975E-15,1,10,-.1776356839400225E-14,1,10,1.000000,0.1421085E-13
13,.5727467538869602E-18,1,13,1,1,.4645500490085153E-15,1,8,-.8881784197001213E-15,1,7,1.000000,0.4440892E-14
14,.6337189478193287E-18,1,14,1,1,.4877775514589380E-15,1,10,.000000000000000,0,0,1.000000,0.000000
15,.6977397514483157E-18,1,15,1,1,-.5121664290318872E-15,1,7,-.8881784197001213E-15,1,7,1.000000,0.4440892E-14
16,.7649615952587520E-18,1,16,1,1,-.5377747504834908E-15,1,10,-.2220446049250312E-15,1,4,1.000000,0.6661338E-15
17,.8355445312597102E-18,1,17,1,1,.7528846506768870E-15,1,10,.1793662034335766E-42,1,4,1.000000,0.1448909E-69
18,.9096566140607162E-18,1,18,1,1,-.1976322208026751E-15,1,6,.1543843409730280E-40,1,7,1.000000,0.1073484E-65
19,.9874743010017727E-18,1,19,1,1,-.4150276636856340E-15,1,10,.4440892098500610E-15,1,6,1.000000,0.3552714E-14
20,.1069182872289882E-17,1,20,1,1,-.4357790468698873E-15,1,6,.1262177448353619E-28,1,5,1.000000,0.8968310E-42
21,.1154976872142396E-17,1,21,1,1,-.5719599990167435E-15,1,10,.8881784197001213E-15,1,10,1.000000,0.4440892E-14
22,.1245060571987537E-17,1,22,1,1,-.6005579989675911E-15,1,8,-.2220446049250312E-15,1,5,1.000000,0.4440892E-15
23,.1339648456824934E-17,1,23,1,1,-.5044687191327704E-15,1,10,.3155443620884047E-29,1,1,1.000000,0.5108996E-43
24,.1438965735904202E-17,1,24,1,1,.6621151938617402E-15,1,7,-.8881784197001221E-15,1,10,1.000000,0.3552714E-14
25,.1543248878937432E-17,1,25,1,1,.2780883814219485E-15,1,6,-.4440892098500617E-15,1,2,1.000000,0.1998401E-14
26,.1652746179122324E-17,1,26,1,1,.4379892007395433E-15,1,10,.6281777588999595E-30,1,4,1.000000,0.1777153E-44
27,.1767718344316461E-17,1,27,1,1,.4598886607765286E-15,1,10,.000000000000000,0,0,1.000000,0.000000
28,.1888439117770305E-17,1,28,1,1,-.3219220625435676E-15,1,4,.2220446049250311E-15,1,2,1.000000,0.8881784E-15
29,.2015195929896841E-17,1,29,1,1,.5070272485061320E-15,1,7,-.4440892098500622E-15,1,7,1.000000,0.9992007E-15
30,.2148290582629703E-17,1,30,1,1,-.1774595369771503E-15,1,7,.4470828585944731E-40,1,9,1.000000,0.9002079E-65
31,.2288039967999209E-17,1,31,1,1,.3726650276519808E-15,1,6,.1110223024625157E-15,1,10,1.000000,0.5551115E-16
32,.2434776822637191E-17,1,32,1,1,-.1956491395172928E-15,1,6,.2220446049250313E-15,1,6,1.000000,0.2220446E-15
33,.2588850520007071E-17,1,33,1,1,.6162947894794532E-15,1,9,.000000000000000,0,0,1.000000,0.000000
34,.2750627902245445E-17,1,34,1,1,-.6471095289534411E-15,1,8,-.2220446049250311E-15,1,5,1.000000,0.1165734E-14
35,.2920494153595738E-17,1,35,1,1,-.6794650054010948E-15,1,9,-.2220446049250312E-15,1,7,1.000000,0.4996004E-15
36,.3098853717513545E-17,1,36,1,1,.5945318797259575E-15,1,8,-.4440892098500622E-15,1,10,1.000000,0.8881784E-15
37,.3286131259627243E-17,1,37,1,1,-.9988135579396167E-15,1,8,.2220446049250312E-15,1,3,1.000000,0.4996004E-15
38,.3482772678846626E-17,1,38,1,1,-.7865656768775040E-15,1,9,.4440892098500621E-15,1,9,1.000000,0.1124101E-14
39,.3689246169026978E-17,1,39,1,1,-.6882449672677872E-15,1,9,-.2220446049250313E-15,1,4,1.000000,0.2220446E-15
40,.3906043333716348E-17,1,40,1,1,.4335943293787059E-15,1,7,-.2220446049250313E-15,1,3,1.000000,0.2775558E-15
41,.4133680356640186E-17,1,41,1,1,.3035160305650807E-15,1,10,-.5551115123125782E-16,1,3,1.000000,0.6938894E-16
42,.4372699230710216E-17,1,42,1,1,-.6373836641866860E-15,1,8,.2220446049250313E-15,1,6,1.000000,0.2220446E-15
43,.4623669048483748E-17,1,43,1,1,.3346264236979973E-15,1,4,-.1110223024625156E-15,1,8,1.000000,0.1110223E-15
44,.4887187357145956E-17,1,44,1,1,-.5270366173243053E-15,1,8,-.5551115123125783E-16,1,9,1.000000,0.2775558E-16
45,.5163881581241275E-17,1,45,1,1,.9223140803175789E-15,1,9,.1110223024625156E-15,1,2,1.000000,0.1110223E-15
46,.5454410516541360E-17,1,46,1,1,-.9684297843334501E-15,1,9,.2220446049250313E-15,1,6,1.000000,0.2775558E-15
47,.5759465898606448E-17,1,47,1,1,-.6101107641300947E-15,1,9,.1110223024625156E-15,1,8,1.000000,0.8326673E-16
48,.6079774049774791E-17,1,48,1,1,.8541550697820662E-15,1,8,.6310887241768094E-29,1,9,1.000000,0.1793662E-42
49,.6416097608501552E-17,1,49,1,1,.7847549703624208E-15,1,10,.000000000000000,0,0,1.000000,0.000000
50,.6769237345164651E-17,1,50,1,1,-.8239927188805630E-15,1,10,.1110223024625156E-15,1,3,1.000000,0.1249001E-15
51,.7140034068660904E-17,1,51,1,1,.8651923548244323E-15,1,10,-.5551115123125783E-16,1,7,1.000000,0.2081668E-16
52,.7529370628331970E-17,1,52,1,1,-.7786731193419706E-15,1,10,-.1110223024625156E-15,1,8,1.000000,0.8326673E-16
53,.7938174015986588E-17,1,53,1,1,.4088033876545302E-15,1,7,.1110223024625156E-15,1,6,1.000000,0.2116363E-15
54,.8367417573023939E-17,1,54,1,1,.5723247427164345E-15,1,10,.5693988915829352E-29,1,4,1.000000,0.1460135E-42
55,.8818123307913158E-17,1,55,1,1,.3004704899261453E-15,1,7,-.1665334536937734E-15,1,6,1.000000,0.4024558E-15
56,.9291364329546836E-17,1,56,1,1,.3154940144223730E-15,1,6,-.1110223024625156E-15,1,6,1.000000,0.2463307E-15
57,.9788267402262199E-17,1,57,1,1,-.6625374302869749E-15,1,6,.1110223024625156E-15,1,6,1.000000,0.7979728E-16
58,.1031001562861333E-16,1,58,1,1,.6956643018014112E-15,1,10,-.2220446049250312E-15,1,10,1.000000,0.2949030E-15
59,.1085785126628202E-16,1,59,1,1,-.7304475168912900E-15,1,7,.1110223024625156E-15,1,7,1.000000,0.6938894E-16
60,.1143307868583414E-16,1,60,1,1,.9587123659199094E-15,1,9,-.1110223024625157E-15,1,8,1.000000,0.5551115E-16
61,.1203706747636387E-16,1,61,1,1,-.6039887905294686E-15,1,7,-.1110223024625156E-15,1,5,1.000000,0.1526557E-15
62,.1267125570642008E-16,1,62,1,1,-.6341882300558926E-15,1,8,.1110223024625156E-15,1,8,1.000000,0.1075529E-15
63,.1333715334797911E-16,1,63,1,1,-.8878635220785424E-15,1,10,.2220446049250312E-15,1,10,1.000000,0.3781697E-15
64,.1403634587161609E-16,1,64,1,1,-.1165320872728099E-14,1,10,.2220446049250313E-15,1,10,1.000000,0.2385245E-15
65,.1477049802143491E-16,1,65,1,1,-.8565108414552483E-15,1,10,.2220446049250312E-15,1,10,1.000000,0.3391384E-15
66,.1554135777874468E-16,1,66,1,1,-.5139065048730721E-15,1,9,.2775557561562890E-15,1,8,1.000000,0.5464379E-15
67,.1635076052391993E-16,1,67,1,1,.2698009150583309E-15,1,7,.2220446049250311E-15,1,9,1.000000,0.8595555E-15
68,.1720063340635395E-16,1,68,1,1,-.9915183628392704E-15,1,9,.1110223024625156E-15,1,9,1.000000,0.1665335E-15
69,.1809299993290967E-16,1,69,1,1,-.7436387721295179E-15,1,9,.2220446049250312E-15,1,9,1.000000,0.3998538E-15
70,.1902998478579318E-16,1,70,1,1,-.7808207107360198E-15,1,9,.2220446049250312E-15,1,9,1.000000,0.3859760E-15
71,.2001381888132086E-16,1,71,1,1,.4919170477638400E-15,1,10,-.2220446049250312E-15,1,9,1.000000,0.5412337E-15
72,.2104684468162492E-16,1,72,1,1,-.3443419334344979E-15,1,10,-.3885780586188042E-15,1,9,1.000000,0.1484923E-14
73,.2213152177194419E-16,1,73,1,1,-.5423385451594244E-15,1,8,.2220446049250312E-15,1,8,1.000000,0.5082740E-15
74,.2327043271677942E-16,1,74,1,1,.5694554724173846E-15,1,9,-.2220446049250312E-15,1,9,1.000000,0.5967449E-15
75,.2446628920885641E-16,1,75,1,1,.1993094153460376E-15,1,5,.4440892098500610E-15,1,4,1.000000,0.3552714E-14
76,.2572193852553725E-16,1,76,1,1,-.4185497722269471E-15,1,10,.2498001805406600E-15,1,8,1.000000,0.1070324E-14
77,.2704037030805214E-16,1,77,1,1,.8789545216762799E-15,1,10,-.3330669073875468E-15,1,10,1.000000,0.6470519E-15
78,.2842472367969277E-16,1,78,1,1,.4614511238800388E-15,1,5,.2775557561562888E-15,1,3,1.000000,0.1016548E-14
79,.2987829471991543E-16,1,79,1,1,.7267855201107188E-15,1,9,-.4440892098500620E-15,1,9,1.000000,0.1417269E-14
80,.3140454431214922E-16,1,80,1,1,.7631247961166889E-15,1,10,-.3330669073875467E-15,1,10,1.000000,0.7788908E-15
81,.3300710638399470E-16,1,81,1,1,.5341873572814275E-15,1,10,-.3608224830031753E-15,1,10,1.000000,0.1458902E-14
82,.3468979655943246E-16,1,82,1,1,-.4206725438591868E-15,1,10,.3885780586188040E-15,1,10,1.000000,0.1955901E-14
83,.3645662124364210E-16,1,83,1,1,.7361769517540181E-15,1,10,-.2775557561562889E-15,1,9,1.000000,0.9098625E-15
84,.3831178716206223E-16,1,84,1,1,-.7729857993407244E-15,1,6,.4440892098500620E-15,1,6,1.000000,0.1437869E-14
85,.4025971137640336E-16,1,85,1,1,-.4869810535849453E-15,1,6,.3608224830031752E-15,1,6,1.000000,0.1931831E-14
86,.4230503180146155E-16,1,86,1,1,-.5113301062638951E-15,1,9,.6938893903907203E-15,1,9,1.000000,0.3722717E-14
87,.4445261824777265E-16,1,87,1,1,-.8948276859621374E-15,1,7,.3885780586188043E-15,1,7,1.000000,0.1252254E-14
88,.4670758401639930E-16,1,88,1,1,.9395690702597496E-15,1,8,-.3053113317719178E-15,1,10,1.000000,0.9931292E-15
89,.4907529807345729E-16,1,89,1,1,.3946190095095390E-15,1,8,-.3885780586188037E-15,1,8,1.000000,0.2942958E-14
90,.5156139783336818E-16,1,90,1,1,-.2071749799924343E-15,1,1,.7077671781985293E-15,1,1,1.000000,0.1128004E-13
91,.5417180258127462E-16,1,91,1,1,.6526011869756977E-15,1,9,-.5551115123125766E-15,1,9,1.000000,0.3028177E-14
92,.5691272756657637E-16,1,92,1,1,-.3426156231627170E-15,1,10,.6383782391594607E-15,1,9,1.000000,0.6796430E-14
93,.5979069880114321E-16,1,93,1,1,.7194928086413407E-15,1,10,.4440892098500615E-15,1,8,1.000000,0.2388552E-14
94,.6281256859743839E-16,1,94,1,1,-.5036449660487892E-15,1,10,.5967448757360188E-15,1,6,1.000000,0.4747396E-14
95,.6598553188354834E-16,1,95,1,1,.7932408215265875E-15,1,8,-.8049116928532350E-15,1,8,1.000000,0.4287261E-14
96,.6931714333396378E-16,1,96,1,1,.2776342875343695E-15,1,9,.8951173136040196E-15,1,7,1.000000,0.1432231E-13
97,.7281533535689998E-16,1,97,1,1,.7287900047772875E-15,1,10,-.5273559366969476E-15,1,10,1.000000,0.3316141E-14
98,.7648843698098300E-16,1,98,1,1,-.9182754060197037E-15,1,10,.5551115123125767E-15,1,10,1.000000,0.2858174E-14
99,.8034519368627017E-16,1,99,1,1,.6427927842140297E-15,1,10,-.6800116025829046E-15,1,10,1.000000,0.5511108E-14
100,.8439478822682171E-16,1,100,1,1,-.5061993175682089E-15,1,1,.7077671781985319E-15,1,1,1.000000,0.7594294E-14
101,.8864686249440082E-16,1,101,1,1,-.3543395222978532E-15,1,1,.7563394355258788E-15,1,1,1.000000,0.1202689E-13
102,.9311154047535888E-16,1,102,1,1,-.5580847476190898E-15,1,1,.6661338147750892E-15,1,1,1.000000,0.7105427E-14
103,.9779945235536485E-16,1,103,1,1,-.5859889849987864E-15,1,9,.1026956297778259E-14,1,9,1.000000,0.1100796E-13
104,.1027217598293711E-15,1,104,1,1,-.6152884342499708E-15,1,1,.7632783294297889E-15,1,1,1.000000,0.8152441E-14
105,.1078901826770777E-15,1,105,1,1,-.4307019039755437E-15,1,9,.7077671781985293E-15,1,1,1.000000,0.1128004E-13
106,.1133170266671696E-15,1,106,1,1,-.3391777493804067E-15,1,1,.1471045507628286E-14,1,1,1.000000,0.3131601E-13
107,.1190152128567661E-15,1,107,1,1,-.4748488491330369E-15,1,10,.7285838599102506E-15,1,6,1.000000,0.1147610E-13
108,.1249983083558425E-15,1,108,1,1,.7478869373845339E-15,1,10,-.9714451465470019E-15,1,9,1.000000,0.1035565E-13
109,.1312805586298726E-15,1,109,1,1,-.6544010702105901E-15,1,1,.8326672684688586E-15,1,9,1.000000,0.1048171E-13
110,.1378769214176043E-15,1,110,1,1,.5496968989766630E-15,1,10,-.9367506770274620E-15,1,8,1.000000,0.1483742E-13
111,.1448031023447225E-15,1,111,1,1,.7214771799070710E-15,1,10,-.1415534356397049E-14,1,10,1.000000,0.1810586E-13
112,.1520755923181967E-15,1,112,1,1,-.9090612466824928E-15,1,10,.1360023205165797E-14,1,10,1.000000,0.1452831E-13
113,.1597117067903445E-15,1,113,1,1,-.9545143090168504E-15,1,10,.1221245327087656E-14,1,10,1.000000,0.1289568E-13
114,.1677296269860998E-15,1,114,1,1,-.6681600163114788E-15,1,1,.2844946500601834E-14,1,1,1.000000,0.4554142E-13
115,.1761484431916428E-15,1,115,1,1,-.5261760128452408E-15,1,1,.1471045507628286E-14,1,1,1.000000,0.3135427E-13
116,.1849882002074629E-15,1,116,1,1,-.5524848134874354E-15,1,1,.1935951399190037E-14,1,1,1.000000,0.4131045E-13
117,.1942699450740741E-15,1,117,1,1,-.7734787388823197E-15,1,1,.2470246229790876E-14,1,1,1.000000,0.3950464E-13
118,.2040157771840158E-15,1,118,1,1,-.6091145068697601E-15,1,1,.1186550857568106E-14,1,1,1.000000,0.2536883E-13
119,.2142489008994546E-15,1,119,1,1,-.8527603096175515E-15,1,1,.1720845688168945E-14,1,1,1.000000,0.2749325E-13
120,.2249936808006654E-15,1,120,1,1,-.1119247906371615E-14,1,9,.1179611963664211E-14,1,9,1.000000,0.1503751E-13
121,.2362756996969367E-15,1,121,1,1,-.1057689271522224E-14,1,1,.1887379141862715E-14,1,1,1.000000,0.2699363E-13
122,.2481218195380216E-15,1,122,1,1,-.9871766534209722E-15,1,1,.2428612866367435E-14,1,1,1.000000,0.3901674E-13
123,.2605602453711607E-15,1,123,1,1,-.9069685503308702E-15,1,1,.2498001805406488E-14,1,1,1.000000,0.4579178E-13
124,.2736205924959568E-15,1,124,1,1,-.1224407542945330E-14,1,1,.2151057110211175E-14,1,1,1.000000,0.3059180E-13
125,.2873339569769927E-15,1,125,1,1,-.9999328267385105E-15,1,1,.1755540157688472E-14,1,1,1.000000,0.3216333E-13
126,.3017329896820804E-15,1,126,1,1,-.1199919392084847E-14,1,1,.1686151218649411E-14,1,1,1.000000,0.2720745E-13
127,.3168519740224224E-15,1,127,1,1,-.1259915361690041E-14,1,1,.2498001805406502E-14,1,1,1.000000,0.4002187E-13
128,.3327269075797816E-15,1,128,1,1,-.1322911129774277E-14,1,1,.2498001805406502E-14,1,1,1.000000,0.3992419E-13
129,.3493955878150087E-15,1,129,1,1,-.1389056686262703E-14,1,1,.2206568261442421E-14,1,1,1.000000,0.3525991E-13
130,.3668977020619972E-15,1,130,1,1,-.1276195830503553E-14,1,1,.2844946500601815E-14,1,1,1.000000,0.5218410E-13
131,.3852749220213351E-15,1,131,1,1,-.1722864371180361E-14,1,1,.2525757381022140E-14,1,1,1.000000,0.3588352E-13
132,.4045710029786399E-15,1,132,1,1,-.1608006746433727E-14,1,1,.2525757381022129E-14,1,1,1.000000,0.4040225E-13
133,.4248318879838099E-15,1,133,1,1,-.1688407083754989E-14,1,1,.2164934898018980E-14,1,1,1.000000,0.3460519E-13
134,.4461058172392385E-15,1,134,1,1,-.1551224008199437E-14,1,1,.3316791286067454E-14,1,1,1.000000,0.6065889E-13
135,.4684434429574385E-15,1,135,1,1,-.1861468809838816E-14,1,1,.3122502256758097E-14,1,1,1.000000,0.4991812E-13
136,.4918979499615485E-15,1,136,1,1,-.1710224469039658E-14,1,1,.3011479954295571E-14,1,1,1.000000,0.5503433E-13
137,.5165251823158640E-15,1,137,1,1,-.2180536198022253E-14,1,1,.2761679773754962E-14,1,1,1.000000,0.4156868E-13
138,.5423837762878953E-15,1,138,1,1,-.2020202654050914E-14,1,1,.2789435349370573E-14,1,1,1.000000,0.4755635E-13
139,.5695352999585280E-15,1,139,1,1,-.2121212786754769E-14,1,1,.2969846590872143E-14,1,1,1.000000,0.5055070E-13
140,.5980443998126925E-15,1,140,1,1,-.2227273426090677E-14,1,1,.3053113317719022E-14,1,1,1.000000,0.5205085E-13
141,.6279789546595652E-15,1,141,1,1,-.2338637097394376E-14,1,1,.3178013407989338E-14,1,1,1.000000,0.5421873E-13
142,.6594102372487815E-15,1,142,1,1,-.2291864355445699E-14,1,1,.3635980405647145E-14,1,1,1.000000,0.6651507E-13
143,.6924130839674586E-15,1,143,1,1,-.2578347399873804E-14,1,1,.3504141421472941E-14,1,1,1.000000,0.5974381E-13
144,.7270660730220695E-15,1,144,1,1,-.2526780451871858E-14,1,1,.3753941602013553E-14,1,1,1.000000,0.6864111E-13
145,.7634517115294111E-15,1,145,1,1,-.2842628008356481E-14,1,1,.3198830089701058E-14,1,1,1.000000,0.5466219E-13
146,.8016566319621196E-15,1,146,1,1,-.2984759408774768E-14,1,1,.3594347042223724E-14,1,1,1.000000,0.6129374E-13
147,.8417717984164636E-15,1,147,1,1,-.2925064220599995E-14,1,1,.3767819389821365E-14,1,1,1.000000,0.6884337E-13
148,.8838927231935249E-15,1,148,1,1,-.3510077064715500E-14,1,1,.3150257832373723E-14,1,1,1.000000,0.5045259E-13
149,.9281196942094391E-15,1,149,1,1,-.3685580917949183E-14,1,1,.3518019209280767E-14,1,1,1.000000,0.5628380E-13
150,.9745580137761491E-15,1,150,1,1,-.3869859963842880E-14,1,1,.3240463453124507E-14,1,1,1.000000,0.5195195E-13
151,.1023318249321195E-14,1,151,1,1,-.3936373181968852E-14,1,1,.3344546861683099E-14,1,1,1.000000,0.5522674E-13
152,.1074516496643492E-14,1,152,1,1,-.3999863072001475E-14,1,1,.3684552662974506E-14,1,1,1.000000,0.6297865E-13
153,.1128274656331905E-14,1,153,1,1,-.4339851433114674E-14,1,1,.3552713678800292E-14,1,1,1.000000,0.5873544E-13
154,.1184720724004738E-14,1,154,1,1,-.4409849036873450E-14,1,1,.3663735981262788E-14,1,1,1.000000,0.6253883E-13
155,.1243989095061214E-14,1,155,1,1,-.4630341488713642E-14,1,1,.3608224830031537E-14,1,1,1.000000,0.6149236E-13
156,.1306220884670512E-14,1,156,1,1,-.5023920515253039E-14,1,1,.3504141421472948E-14,1,1,1.000000,0.5790489E-13
157,.1371564263760276E-14,1,157,1,1,-.5275116541005521E-14,1,1,.3552713678800292E-14,1,1,1.000000,0.5873164E-13
158,.1440174811804528E-14,1,158,1,1,-.5538872368054096E-14,1,1,.3427813588529977E-14,1,1,1.000000,0.5656177E-13
159,.1512215887250992E-14,1,159,1,1,-.5815815986455071E-14,1,1,.3580469254415918E-14,1,1,1.000000,0.5905968E-13
160,.1587859016469780E-14,1,160,1,1,-.5909619470098210E-14,1,1,.3691491556878413E-14,1,1,1.000000,0.6307876E-13
161,.1667284302149507E-14,1,161,1,1,-.6618773806498988E-14,1,1,.3469446951953422E-14,1,1,1.000000,0.5548151E-13
162,.1750680852113221E-14,1,162,1,1,-.6949712496821175E-14,1,1,.3497202527569047E-14,1,1,1.000000,0.5594158E-13
163,.1838247229575120E-14,1,163,1,1,-.6955141959704210E-14,1,1,.3635980405647166E-14,1,1,1.000000,0.6106420E-13
164,.1930191925910114E-14,1,164,1,1,-.7302899057678093E-14,1,1,.3684552662974510E-14,1,1,1.000000,0.6189719E-13
165,.2026733857061858E-14,1,165,1,1,-.7793749650069866E-14,1,1,.3642919299551076E-14,1,1,1.000000,0.6015716E-13
166,.2128102884771189E-14,1,166,1,1,-.8051446211069867E-14,1,1,.3663735981262792E-14,1,1,1.000000,0.6145726E-13
167,.2234540363865986E-14,1,167,1,1,-.8592608989179354E-14,1,1,.3642919299551076E-14,1,1,1.000000,0.6021914E-13
168,.2346299716915523E-14,1,168,1,1,-.8876719447679928E-14,1,1,.3698430450782323E-14,1,1,1.000000,0.6214706E-13
169,.2463647037617538E-14,1,169,1,1,-.9320555420050038E-14,1,1,.3691491556878417E-14,1,1,1.000000,0.6196723E-13
170,.2586861724354653E-14,1,170,1,1,-.9786583191031956E-14,1,1,.3698430450782323E-14,1,1,1.000000,0.6206523E-13
171,.2716237145428623E-14,1,171,1,1,-.1044436993009562E-13,1,1,.3642919299551076E-14,1,1,1.000000,0.6015573E-13
172,.2852081337556293E-14,1,172,1,1,-.1078970796806939E-13,1,1,.3705369344686230E-14,1,1,1.000000,0.6219889E-13
173,.2994717739290346E-14,1,173,1,1,-.1132919336646580E-13,1,1,.3698430450782323E-14,1,1,1.000000,0.6206648E-13
174,.3144485961111101E-14,1,174,1,1,-.1189565303477425E-13,1,1,.3712308238590135E-14,1,1,1.000000,0.6239862E-13
175,.3301742594022894E-14,1,175,1,1,-.1249043568647984E-13,1,1,.3719247132494042E-14,1,1,1.000000,0.6249875E-13
176,.3466862058580277E-14,1,176,1,1,-.1289995816797670E-13,1,1,.3788636071533101E-14,1,1,1.000000,0.6476956E-13
177,.3640237496365529E-14,1,177,1,1,-.1399645461222396E-13,1,1,.3656797087358888E-14,1,1,1.000000,0.6036019E-13
178,.3822281706040044E-14,1,178,1,1,-.1469627734279543E-13,1,1,.3663735981262795E-14,1,1,1.000000,0.6055855E-13
179,.4013428126198284E-14,1,179,1,1,-.1530664692596563E-13,1,1,.3684552662974513E-14,1,1,1.000000,0.6128624E-13
180,.4214131867364436E-14,1,180,1,1,-.1594131277406157E-13,1,1,.3712308238590136E-14,1,1,1.000000,0.6235616E-13
181,.4424870795588897E-14,1,181,1,1,-.1673837841271985E-13,1,1,.3726186026397948E-14,1,1,1.000000,0.6259718E-13
182,.4646146670224580E-14,1,182,1,1,-.1786341696171286E-13,1,1,.3656797087358888E-14,1,1,1.000000,0.6034792E-13
183,.4878486338592047E-14,1,183,1,1,-.1845406219992671E-13,1,1,.3719247132494042E-14,1,1,1.000000,0.6251898E-13
184,.5122442990377888E-14,1,184,1,1,-.1953559125500559E-13,1,1,.3691491556878418E-14,1,1,1.000000,0.6145226E-13
185,.5378597474753021E-14,1,185,1,1,-.2034560357527966E-13,1,1,.3719247132494042E-14,1,1,1.000000,0.6244799E-13
186,.5647559683346910E-14,1,186,1,1,-.2153798935852400E-13,1,1,.3684552662974513E-14,1,1,1.000000,0.6126268E-13
187,.5929970002370494E-14,1,187,1,1,-.2279874971112305E-13,1,1,.3663735981262795E-14,1,1,1.000000,0.6054209E-13
188,.6226500837345257E-14,1,188,1,1,-.2374563326758430E-13,1,1,.3684552662974513E-14,1,1,1.000000,0.6130653E-13
189,.6537858214068758E-14,1,189,1,1,-.2493291493086493E-13,1,1,.3691491556878418E-14,1,1,1.000000,0.6145642E-13
190,.6864783459628434E-14,1,190,1,1,-.2639240263402553E-13,1,1,.3663735981262795E-14,1,1,1.000000,0.6047123E-13
191,.7208054967466095E-14,1,191,1,1,-.2737679668377420E-13,1,1,.3705369344686230E-14,1,1,1.000000,0.6189483E-13
192,.7568490050695638E-14,1,192,1,1,-.2898029477512024E-13,1,1,.3684552662974513E-14,1,1,1.000000,0.6116854E-13
193,.7946946888086658E-14,1,193,1,1,-.3018291834356658E-13,1,1,.3705369344686230E-14,1,1,1.000000,0.6192369E-13
194,.8344326567347229E-14,1,194,1,1,-.3169206426058499E-13,1,1,.3712308238590137E-14,1,1,1.000000,0.6210753E-13
195,.8761575230570828E-14,1,195,1,1,-.3327666747343793E-13,1,1,.3712308238590137E-14,1,1,1.000000,0.6207755E-13
196,.9199686326955608E-14,1,196,1,1,-.3508311513606988E-13,1,1,.3691491556878419E-14,1,1,1.000000,0.6142199E-13
197,.9659702978159627E-14,1,197,1,1,-.3668752588908365E-13,1,1,.3712308238590137E-14,1,1,1.000000,0.6209512E-13
198,.1014272046192385E-13,1,198,1,1,-.3867913443705199E-13,1,1,.3691491556878419E-14,1,1,1.000000,0.6142394E-13
199,.1064988881987628E-13,1,199,1,1,-.4061309115864196E-13,1,1,.3691491556878419E-14,1,1,1.000000,0.6140554E-13
200,.1118241559572633E-13,1,200,1,1,-.4264374571628452E-13,1,1,.3691491556878419E-14,1,1,1.000000,0.6142400E-13
201,.1174156871036888E-13,1,201,1,1,-.4459391701402156E-13,1,1,.3712308238590137E-14,1,1,1.000000,0.6210138E-13
202,.1232867948074357E-13,1,202,1,1,-.4701472965151657E-13,1,1,.3691491556878419E-14,1,1,1.000000,0.6140144E-13
203,.1294514578963698E-13,1,203,1,1,-.4936546613373738E-13,1,1,.3691491556878419E-14,1,1,1.000000,0.6138733E-13
204,.1359243541397507E-13,1,204,1,1,-.5183373943999821E-13,1,1,.3691491556878419E-14,1,1,1.000000,0.6139143E-13
205,.1427208951953006E-13,1,205,1,1,-.5464666798230699E-13,1,1,.3684552662974513E-14,1,1,1.000000,0.6116158E-13
206,.1498572633036281E-13,1,206,1,1,-.5726284955622255E-13,1,1,.3691491556878419E-14,1,1,1.000000,0.6139517E-13
207,.1573504498173719E-13,1,207,1,1,-.6024795144934987E-13,1,1,.3684552662974513E-14,1,1,1.000000,0.6117228E-13
208,.1652182956568029E-13,1,208,1,1,-.6300423424784565E-13,1,1,.3691491556878419E-14,1,1,1.000000,0.6138933E-13
209,.1734795337882054E-13,1,209,1,1,-.6601998570352860E-13,1,1,.3705369344686231E-14,1,1,1.000000,0.6184333E-13
210,.1821538338261780E-13,1,210,1,1,-.6946216825675603E-13,1,1,.3691491556878419E-14,1,1,1.000000,0.6139066E-13
211,.1912618488660494E-13,1,211,1,1,-.7308351910100386E-13,1,1,.3691491556878419E-14,1,1,1.000000,0.6137958E-13
