total_inner_iterations,totim,kper,kstp,nouter,ninner,solution_inner_dvmax,solution_inner_dvmax_model,solution_inner_dvmax_node,solution_inner_rmax,solution_inner_rmax_model,solution_inner_rmax_node,solution_inner_alpha,solution_inner_omega
1243,.4848293214454971E-03,1,702,2,1,-.2306377702113296E-25,1,5,-.3552713678595321E-13,1,2,0.2887646E-10,0.2887646E-10
1244,.5090707875177721E-03,1,703,1,1,-.1939352170290321E-03,1,1,.3722716579443932E-14,1,8,1.000000,0.6169497E-12
1245,.5090707875177721E-03,1,703,1,2,-.1196323627081246E-15,1,1,.2158846968553470E-16,1,8,0.6169497E-12,0.4989868E-17
1246,.5090707875177721E-03,1,703,2,1,.5789825631334938E-25,1,4,-.7105427357004850E-13,1,5,0.4195044E-10,0.4195044E-10
1247,.5345243268936607E-03,1,704,1,1,-.2036305156998738E-03,1,1,.3715777685540032E-14,1,6,1.000000,0.6160243E-12
1248,.5345243268936607E-03,1,704,1,2,-.1255188841097843E-15,1,1,.1735774867066087E-16,1,6,0.6160243E-12,0.4437459E-17
1249,.5345243268936607E-03,1,704,2,1,.1774155421694404E-25,1,2,-.3907985046489952E-13,1,2,0.2438583E-10,0.2438583E-10
1250,.5612505432383437E-03,1,705,1,1,-.2138110918984734E-03,1,1,.3713175600326066E-14,1,5,1.000000,0.6165420E-12
1251,.5612505432383437E-03,1,705,1,2,-.1318498773435091E-15,1,1,.1317757318291215E-16,1,5,0.6165420E-12,0.1932552E-17
1252,.5612505432383437E-03,1,705,2,1,-.3513949928712394E-25,1,4,.4263256414321171E-13,1,4,0.2808065E-10,0.2808065E-10
1253,.5893130704002610E-03,1,706,1,1,-.2245010422201400E-03,1,1,.3706236706422161E-14,1,1,1.000000,0.6170035E-12
1254,.5893130704002610E-03,1,706,1,2,-.1384939250458611E-15,1,1,-.9024290678878227E-17,1,5,0.6170035E-12,0.8902020E-18
1255,.5893130704002610E-03,1,706,2,1,.7696258027908196E-25,1,9,-.6394884621264379E-13,1,3,0.4507683E-10,0.4507683E-10
1256,.6187787239202740E-03,1,707,1,1,-.2357257177569672E-03,1,1,.3718379770753992E-14,1,3,1.000000,0.6168910E-12
1257,.6187787239202740E-03,1,707,1,2,-.1454047587210300E-15,1,1,-.1734939432406008E-16,1,5,0.6168910E-12,0.4009657E-17
1258,.6187787239202740E-03,1,707,2,1,-.2106677325713701E-25,1,4,.4973799149987648E-13,1,4,0.3348077E-10,0.3348077E-10
1259,.6497176601162878E-03,1,708,1,1,-.2475117739653855E-03,1,1,.3709706153374113E-14,1,6,1.000000,0.6170038E-12
1260,.6497176601162878E-03,1,708,1,2,-.1526891668506354E-15,1,1,.8333608994878420E-17,1,9,0.6170038E-12,0.1214681E-17
1261,.6497176601162878E-03,1,708,2,1,.1221199331478480E-24,1,3,.8526512827344380E-13,1,6,0.1041940E-09,0.1041940E-09
1262,.6822035431221022E-03,1,709,1,1,-.2598872256360339E-03,1,1,.3715777685540029E-14,1,2,1.000000,0.6167182E-12
1263,.6822035431221022E-03,1,709,1,2,-.1602859713142546E-15,1,1,-.1943194642882278E-16,1,3,0.6167182E-12,0.4683937E-17
1264,.6822035431221022E-03,1,709,2,1,-.1210241298934519E-24,1,5,.8526512827819362E-13,1,7,0.7634071E-10,0.7634071E-10
1265,.7163137202782074E-03,1,710,1,1,-.2728815070031082E-03,1,1,.3713175600326066E-14,1,4,1.000000,0.6167742E-12
1266,.7163137202782074E-03,1,710,1,2,-.1683081101472512E-15,1,1,-.1526520132909891E-16,1,6,0.6167742E-12,0.2949291E-17
1267,.7163137202782074E-03,1,710,2,1,.9725697905722757E-25,1,6,-.5684341885345386E-13,1,7,0.6468781E-10,0.6468781E-10
1268,.7521294062921178E-03,1,711,1,1,-.2865255368181236E-03,1,1,.3716645047278015E-14,1,2,1.000000,0.6172389E-12
