,uzfcell,grdcode,row,col,hru_id,weight
155,217,1129,14,76,4,0.00407294027898051
425,218,1130,14,77,8,4.9875322360254466e-08
156,218,1130,14,77,4,0.018356362417106996
158,219,1131,14,78,4,0.018366295299402608
160,220,1132,14,79,4,0.018356256441065727
538,221,1175,15,41,10,0.04343023850697293
662,222,1176,15,42,13,5.35167805325239e-05
633,222,1176,15,42,12,0.015856724760674366
539,222,1176,15,42,10,0.03870496101936951
540,223,1177,15,43,10,0.014444657528507572
663,223,1177,15,43,13,0.011404225591823651
634,223,1177,15,43,12,0.07938248378032062
507,224,1178,15,44,10,0.014519909608754026
648,224,1178,15,44,13,0.022641495861530855
624,224,1178,15,44,12,0.06343069609385849
626,225,1179,15,45,12,0.09533474422727989
509,225,1179,15,45,10,0.014541218819939191
628,226,1180,15,46,12,0.04769981163570633
511,226,1180,15,46,10,0.02893483320104115
630,227,1181,15,47,12,0.01581942029046433
513,227,1181,15,47,10,0.03863566795365072
515,228,1182,15,48,10,0.04349721026881573
631,228,1182,15,48,12,0.00019210583963822546
632,229,1183,15,49,12,4.784269840810067e-05
521,229,1183,15,49,10,0.043437605143630244
480,230,1184,15,50,9,1.996227853826333e-05
523,230,1184,15,50,10,0.04342152778538333
525,231,1185,15,51,10,0.029009531904860945
481,231,1185,15,51,9,0.010812889490844938
527,232,1186,15,52,10,1.3975886404056889e-05
482,232,1186,15,52,9,0.032459889124903524
483,233,1187,15,53,9,0.032470335892294845
472,234,1188,15,54,9,0.032491298673566225
215,235,1189,15,55,6,0.01989663326775216
473,235,1189,15,55,9,0.010848278869904799
216,236,1190,15,56,6,0.02988261770802693
217,237,1191,15,57,6,0.02989929802874486
218,238,1192,15,58,6,0.006660797875442801
271,238,1192,15,58,7,0.016067667571906863
272,239,1193,15,59,7,0.02069248074024443
273,240,1194,15,60,7,0.020711471513758253
275,241,1195,15,61,7,0.020676858073188028
277,242,1196,15,62,7,0.020690353971545807
319,243,1197,15,63,7,0.020713083492652447
52,244,1198,15,64,1,0.01772411538092326
320,244,1198,15,64,7,0.006904870453360652
53,245,1199,15,65,1,0.017729792444282074
201,245,1199,15,65,5,5.088713268764065e-08
614,245,1199,15,65,11,0.007654216479289539
202,246,1200,15,66,5,0.02541101409405049
615,246,1200,15,66,11,0.015296187223235029
886,247,1201,15,67,15,8.198251410408771e-08
203,247,1201,15,67,5,0.07620561681886467
616,247,1201,15,67,11,5.374958805541033e-06
172,248,1202,15,68,5,0.025328783489744603
837,248,1202,15,68,15,0.009759909112187428
838,249,1203,15,69,15,0.014626679855572816
839,250,1204,15,70,15,0.008112302404695716
386,250,1204,15,70,8,0.0048689663396918855
387,251,1205,15,71,8,0.010963451076511947
388,252,1206,15,72,8,0.010975117965270977
416,253,1207,15,73,8,0.010955313440344895
417,254,1208,15,74,8,0.010963550368287242
418,255,1209,15,75,8,0.010973890910472604
150,256,1210,15,76,4,7.249946489367965e-07
419,256,1210,15,76,8,0.010955255937452993
151,257,1211,15,77,4,0.014298883502497734
420,257,1211,15,77,8,0.002429361656788601
152,258,1212,15,78,4,0.018386547891846662
153,259,1213,15,79,4,0.01835644587476672
154,260,1214,15,80,4,0.01834068701888004
658,261,1255,16,40,13,2.5070414294171008e-06
518,261,1255,16,40,10,0.043437190957463054
659,262,1256,16,41,13,0.022807379438207164
519,262,1256,16,41,10,0.033849123275335645
660,263,1257,16,42,13,0.07960682578133325
520,263,1257,16,42,10,0.009623188731241529
661,264,1258,16,43,13,0.1022019347939264
640,265,1259,16,44,13,0.10231059835053259
617,265,1259,16,44,12,0.00010636020569844957
642,266,1260,16,45,13,0.04559949682007651
619,266,1260,16,45,12,0.07917177955977633
644,267,1261,16,46,13,0.03402701675249402
621,267,1261,16,46,12,0.09523770817160718
989,267,1261,16,46,17,2.1995364962249667e-07
646,268,1262,16,47,13,0.0340505843885085
622,268,1262,16,47,12,0.09523767657404306
991,268,1262,16,47,17,8.937578085128324e-06
505,268,1262,16,47,10,5.46955681876075e-05
506,269,1263,16,48,10,9.36315493137103e-06
647,269,1263,16,48,13,0.011482192709510414
623,269,1263,16,48,12,0.12680020056340544
625,270,1264,16,49,12,0.14274421084368172
649,270,1264,16,49,13,1.4319121581585664e-07
508,270,1264,16,49,10,6.367641132933608e-06
650,271,1265,16,50,13,9.486895574789802e-05
510,271,1265,16,50,10,7.453096123183665e-05
627,271,1265,16,50,12,0.14264115683638617
512,272,1266,16,51,10,0.03859307508899081
629,272,1266,16,51,12,4.89986471071874e-05
651,272,1266,16,51,13,0.011447522757598251
993,272,1266,16,51,17,4.131225031126136e-06
514,273,1267,16,52,10,0.009656707418102706
994,273,1267,16,52,17,0.008951936900043735
475,273,1267,16,52,9,0.018047375160977257
479,274,1268,16,53,9,0.032526826504089085
468,275,1269,16,54,9,0.03249332387568065
211,276,1270,16,55,6,5.680329396668797e-06
469,276,1270,16,55,9,0.032464163401627166
470,277,1271,16,56,9,0.018037958774986235
212,277,1271,16,56,6,0.01333359264859066
471,278,1272,16,57,9,2.0193018979376475e-08
213,278,1272,16,57,6,0.02990274999605403
214,279,1273,16,58,6,0.01991415320125231
264,279,1273,16,58,7,0.006895914156586108
265,280,1274,16,59,7,0.02069026824766407
266,281,1275,16,60,7,0.020676670679782197
267,282,1276,16,61,7,0.020676669021436132
754,283,1277,16,62,14,8.346578071958748e-06
270,283,1277,16,62,7,0.020675905676026264
317,284,1278,16,63,7,0.018363854786568882
770,284,1278,16,63,14,0.0014626082283386297
50,285,1279,16,64,1,0.0029674680037741945
610,285,1279,16,64,11,0.005081857788013995
318,285,1279,16,64,7,0.009194124063335243
771,285,1279,16,64,14,0.0028995005319539992
611,286,1280,16,65,11,0.020331886852059673
51,286,1280,16,65,1,0.0029852656547858427
612,287,1281,16,66,11,0.02288689161382463
613,288,1282,16,67,11,0.015237356831072232
198,288,1282,16,67,5,0.025472470650451676
199,289,1283,16,68,5,0.05088556487651262
883,289,1283,16,68,15,0.004863288830408655
884,290,1284,16,69,15,0.01460113558769631
200,290,1284,16,69,5,3.049256856031418e-08
449,290,1284,16,69,8,3.4168517368931123e-07
450,291,1285,16,70,8,0.00973875665200342
885,291,1285,16,70,15,0.0016219130051130315
451,292,1286,16,71,8,0.01098226731334916
385,293,1287,16,72,8,0.010955687761661616
410,294,1288,16,73,8,0.010955688640356866
412,295,1289,16,74,8,0.010975845444031258
869,295,1289,16,74,15,8.55578507346061e-06
413,296,1290,16,75,8,0.010950876533744889
870,296,1290,16,75,15,5.5972526446995394e-06
414,297,1291,16,76,8,0.010955787932154822
146,298,1292,16,77,4,0.006137621160784815
415,298,1292,16,77,8,0.007318605480216759
147,299,1293,16,78,4,0.01835565097127732
148,300,1294,16,79,4,0.018356279619732872
149,301,1295,16,80,4,0.01840080822245939
654,302,1336,17,40,13,0.10214387799724747
516,302,1336,17,40,10,2.8123923585174717e-05
941,303,1337,17,41,16,2.792642303587359e-05
655,303,1337,17,41,13,0.10207065831305098
517,303,1337,17,41,10,2.665268803022444e-05
942,304,1338,17,42,16,0.009760361325068627
656,304,1338,17,42,13,0.056736765394563404
943,305,1339,17,43,16,0.01460108367592517
657,305,1339,17,43,13,0.03417898396832142
635,306,1340,17,44,13,0.03404368890920743
917,306,1340,17,44,16,0.014643788650479066
980,307,1341,17,45,17,1.6147900950132787e-06
918,307,1341,17,45,16,0.014640173653832878
636,307,1341,17,45,13,0.033993680417191266
637,308,1342,17,46,13,8.072141764056023e-05
919,308,1342,17,46,16,0.002429108356256489
982,308,1342,17,46,17,0.03583593035383439
984,309,1343,17,47,17,0.035874248134368465
638,309,1343,17,47,13,0.011360342176769551
986,310,1344,17,48,17,0.0179471112651804
639,310,1344,17,48,13,0.05673191328321836
987,311,1345,17,49,17,0.02686734240179252
641,311,1345,17,49,13,0.03410396989428912
618,311,1345,17,49,12,0.00012103213285590961
620,312,1346,17,50,12,0.00012704714114529899
988,312,1346,17,50,17,0.02696432517840293
643,312,1346,17,50,13,0.03396754366816372
645,313,1347,17,51,13,0.022656845545921657
990,313,1347,17,51,17,0.03139212854821938
474,314,1348,17,52,9,1.672918775069182e-05
992,314,1348,17,52,17,0.04034082525446602
959,315,1349,17,53,17,0.03143909360874964
463,315,1349,17,53,9,0.007217298789871915
960,316,1350,17,54,17,0.004496277718517643
464,316,1350,17,54,9,0.02884906291823869
465,317,1351,17,55,9,0.032495154660937005
466,318,1352,17,56,9,0.03252609611310994
467,319,1353,17,57,9,8.75497874600281e-06
209,319,1353,17,57,6,0.029873273186024854
210,320,1354,17,58,6,0.019909117920526468
259,320,1354,17,58,7,0.0069161723113076055
260,321,1355,17,59,7,0.020711222825215942
261,322,1356,17,60,7,0.020675338770491714
692,322,1356,17,60,14,9.606101918290796e-07
693,323,1357,17,61,14,0.005799180949934914
262,323,1357,17,61,7,0.011518359509924756
694,324,1358,17,62,14,0.010180513960064478
263,324,1358,17,62,7,0.004611828627473658
768,325,1359,17,63,14,0.013073249520055383
769,326,1360,17,64,14,0.008709764669909775
604,326,1360,17,64,11,0.007645814346030187
606,327,1361,17,65,11,0.022935320897345342
607,328,1362,17,66,11,0.022886682355389928
195,329,1363,17,67,5,7.621976515632547e-08
608,329,1363,17,67,11,0.022894831634016326
196,330,1364,17,68,5,0.033923914605344385
609,330,1364,17,68,11,0.012748675667499949
197,331,1365,17,69,5,1.7305618859223464e-05
445,331,1365,17,69,8,0.0036523096959862915
882,331,1365,17,69,15,0.009730670042410012
446,332,1366,17,70,8,0.010958471447036223
447,333,1367,17,71,8,0.01095908832018447
448,334,1368,17,72,8,0.01095517636493314
403,335,1369,17,73,8,0.010959088252593157
867,336,1370,17,74,15,0.006491674879483918
405,336,1370,17,74,8,0.00608771906279679
407,337,1371,17,75,8,0.006086859015306639
868,337,1371,17,75,15,0.006489244541088017
408,338,1372,17,76,8,0.010958372121427818
409,339,1373,17,77,8,0.00853083464795667
142,339,1373,17,77,4,0.0040683675234178375
143,340,1374,17,78,4,0.01835442562315579
411,340,1374,17,78,8,1.1080527110857292e-06
144,341,1375,17,79,4,0.018360542107426617
145,342,1376,17,80,4,0.01836198235900447
652,343,1417,18,40,13,0.00016985311879554754
937,343,1417,18,40,16,0.021939237279954244
653,344,1418,18,41,13,2.35513642677153e-05
938,344,1418,18,41,16,0.02194754759192518
939,345,1419,18,42,16,0.021937542281364818
940,346,1420,18,43,16,0.0219756935762882
913,347,1421,18,44,16,0.02195260245357106
914,348,1422,18,45,16,0.021937061143009053
915,349,1423,18,46,16,0.019505338805572228
974,349,1423,18,46,17,0.0045419571278255645
976,350,1424,18,47,17,0.035835014211942386
916,350,1424,18,47,16,0.0024609762545970437
978,351,1425,18,48,17,0.040335270755665446
979,352,1426,18,49,17,0.04035728077205089
