         1,   -0.9999999553D+07,    0.2103021612D-01,    0.2454513026D-15,    0.5621618481D-10,    0.1848079420D-21,  457
         2,   -0.7943281992D+07,    0.2115722116D-01,    0.4988497957D-15,    0.7282161334D-10,    0.0000000000D+00,  457
         3,   -0.6309573163D+07,    0.2129988339D-01,    0.1013851282D-14,    0.1029789184D-09,    0.0000000000D+00,  457
         4,   -0.5011872112D+07,    0.2146013301D-01,    0.2060528890D-14,    0.1456251363D-09,    0.0000000000D+00,  457
         5,   -0.3981071528D+07,    0.2164013821D-01,    0.4187773247D-14,    0.2059322527D-09,    0.0000000000D+00,  457
         6,   -0.3162277519D+07,    0.2184233444D-01,    0.8511137437D-14,    0.2912140831D-09,    0.0000000000D+00,  457
         7,   -0.2511886319D+07,    0.2206945741D-01,    0.1729784663D-13,    0.4118133046D-09,    0.0000000000D+00,  457
         8,   -0.1995262226D+07,    0.2232458008D-01,    0.3515575842D-13,    0.5823557563D-09,    0.0000000000D+00,  457
         9,   -0.1584893122D+07,    0.2261115426D-01,    0.7144977860D-13,    0.8235241920D-09,    0.0000000000D+00,  457
        10,   -0.1258925356D+07,    0.2293305726D-01,    0.1452129286D-12,    0.1164566589D-08,    0.0000000000D+00,  457
        11,   -0.9999999553D+06,    0.2329464441D-01,    0.2951274834D-12,    0.1646843251D-08,    0.0000000000D+00,  457
        12,   -0.7943281992D+06,    0.2370080791D-01,    0.5998103934D-12,    0.2328842757D-08,    0.0000000000D+00,  457
        13,   -0.6309573163D+06,    0.2415704311D-01,    0.1219040869D-11,    0.3293275182D-08,    0.0000000000D+00,  457
        14,   -0.5011872112D+06,    0.2466952272D-01,    0.2477550234D-11,    0.4657102472D-08,    0.0000000000D+00,  457
        15,   -0.3981071528D+06,    0.2524518043D-01,    0.5035314080D-11,    0.6585723213D-08,    0.0000000000D+00,  457
        16,   -0.3162277519D+06,    0.2589180460D-01,    0.1023364883D-10,    0.9313030006D-08,    0.0000000000D+00,  457
        17,   -0.2511886319D+06,    0.2661814359D-01,    0.2079860662D-10,    0.1316977402D-07,    0.0000000000D+00,  457
        18,   -0.1995262226D+06,    0.2743402407D-01,    0.4227052765D-10,    0.1862367371D-07,    0.0000000000D+00,  457
        19,   -0.1584893122D+06,    0.2835048377D-01,    0.8590939673D-10,    0.2633613071D-07,    0.1555181120D-14,  457
        20,   -0.1258925356D+06,    0.2937992061D-01,    0.1745995277D-09,    0.3724242917D-07,    0.3979078052D-14,  457
        21,   -0.9999999553D+05,    0.3053626006D-01,    0.3548498322D-09,    0.5266513544D-07,    0.1018081880D-13,  457
        22,   -0.7943281992D+05,    0.3183514291D-01,    0.7211820914D-09,    0.7447443895D-07,    0.2604840969D-13,  457
        23,   -0.6309573163D+05,    0.3329413596D-01,    0.1465694817D-08,    0.1053148524D-06,    0.6664648559D-13,  457
        24,   -0.5011872112D+05,    0.3493296814D-01,    0.2978789062D-08,    0.1489257061D-06,    0.1705178327D-12,  457
        25,   -0.3981071528D+05,    0.3677379497D-01,    0.6053862147D-08,    0.2105941998D-06,    0.4362720833D-12,  457
        26,   -0.3162277519D+05,    0.3884149449D-01,    0.1230326747D-07,    0.2977957324D-06,    0.1116189848D-11,  457
        27,   -0.2511886319D+05,    0.4116399764D-01,    0.2500354353D-07,    0.4210987216D-06,    0.2855675473D-11,  457
        28,   -0.1995262226D+05,    0.4377265638D-01,    0.5081278316D-07,    0.5954427722D-06,    0.7305764852D-11,  457
        29,   -0.1584893122D+05,    0.4670265231D-01,    0.1032596680D-06,    0.8038943875D-06,    0.1706318048D-10,  457
        30,   -0.1548816550D+05,    0.4701480509D-01,    0.1108474089D-06,    0.8802931207D-06,    0.2202331298D-10,  457
        31,   -0.1513561181D+05,    0.4733060389D-01,    0.1189926588D-06,    0.9113191229D-06,    0.2419214802D-10,  457
        32,   -0.1479108322D+05,    0.4765009116D-01,    0.1277363748D-06,    0.9434382211D-06,    0.2657454940D-10,  457
        33,   -0.1445439706D+05,    0.4797330983D-01,    0.1371225219D-06,    0.9766888766D-06,    0.2919154402D-10,  457
        34,   -0.1412537481D+05,    0.4830030332D-01,    0.1471982942D-06,    0.1011110918D-05,    0.3206622987D-10,  457
        35,   -0.1380384203D+05,    0.4863111554D-01,    0.1580143521D-06,    0.1046745583D-05,    0.3522397764D-10,  457
        36,   -0.1348962822D+05,    0.4896579093D-01,    0.1696250766D-06,    0.1083635579D-05,    0.3869265577D-10,  457
        37,   -0.1318256680D+05,    0.4930437442D-01,    0.1820888422D-06,    0.1121825046D-05,    0.4250287597D-10,  457
        38,   -0.1288249494D+05,    0.4964691145D-01,    0.1954683107D-06,    0.1161359727D-05,    0.4668826346D-10,  457
        39,   -0.1258925356D+05,    0.4999344799D-01,    0.2098307453D-06,    0.1202286993D-05,    0.5128575286D-10,  457
        40,   -0.1230268716D+05,    0.5034403054D-01,    0.2252483487D-06,    0.1244655779D-05,    0.5633591360D-10,  457
        41,   -0.1202264381D+05,    0.5069870610D-01,    0.2417986258D-06,    0.1288516851D-05,    0.6188330996D-10,  457
        42,   -0.1174897502D+05,    0.5105752225D-01,    0.2595647724D-06,    0.1333922725D-05,    0.6797689113D-10,  457
        43,   -0.1148153570D+05,    0.5142052707D-01,    0.2786360933D-06,    0.1380927739D-05,    0.7467042423D-10,  457
        44,   -0.1122018404D+05,    0.5178776923D-01,    0.2991084506D-06,    0.1429588119D-05,    0.8202296595D-10,  457
        45,   -0.1096478147D+05,    0.5215929791D-01,    0.3210847447D-06,    0.1479962105D-05,    0.9009938801D-10,  457
        46,   -0.1071519257D+05,    0.5253516289D-01,    0.3446754312D-06,    0.1532109974D-05,    0.9897094543D-10,  457
        47,   -0.1047128501D+05,    0.5291541447D-01,    0.3699990747D-06,    0.1586094113D-05,    0.1087159062D-09,  457
        48,   -0.1023292947D+05,    0.5330010356D-01,    0.3971829446D-06,    0.1641979070D-05,    0.1194202342D-09,  457
        49,   -0.9999999553D+04,    0.5368928163D-01,    0.4263636532D-06,    0.1699831684D-05,    0.1311783591D-09,  457
        50,   -0.9772371773D+04,    0.5408300073D-01,    0.4576878413D-06,    0.1759721159D-05,    0.1440940045D-09,  457
        51,   -0.9549925433D+04,    0.5448131349D-01,    0.4913129142D-06,    0.1821719107D-05,    0.1582810905D-09,  457
        52,   -0.9332542591D+04,    0.5488427317D-01,    0.5274078308D-06,    0.1885899632D-05,    0.1738647523D-09,  457
        53,   -0.9120107986D+04,    0.5529193358D-01,    0.5661539519D-06,    0.1952339398D-05,    0.1909824352D-09,  457
        54,   -0.8912508983D+04,    0.5570434917D-01,    0.6077459493D-06,    0.2021117890D-05,    0.2097851067D-09,  457
        55,   -0.8709635510D+04,    0.5612157500D-01,    0.6523927821D-06,    0.2092317221D-05,    0.2304385863D-09,  457
        56,   -0.8511380002D+04,    0.5654366672D-01,    0.7003187447D-06,    0.2166022456D-05,    0.2531250054D-09,  457
        57,   -0.8317637339D+04,    0.5697068064D-01,    0.7517645916D-06,    0.2242321679D-05,    0.2780444120D-09,  457
        58,   -0.8128304798D+04,    0.5740267368D-01,    0.8069887438D-06,    0.2321305950D-05,    0.3054165330D-09,  457
        59,   -0.7943281992D+04,    0.5783970339D-01,    0.8662685847D-06,    0.2403069593D-05,    0.3354827048D-09,  457
        60,   -0.7762470819D+04,    0.5828182798D-01,    0.9299018500D-06,    0.2487710245D-05,    0.3685080030D-09,  457
